cell_id,cycle,QDischarge,QCharge,IR,Tmax,Tavg,chargetime
cell_0,27.0,1.0765674,1.075214,0.016587147,35.272129,31.514766877424968,13.358211666666708
cell_0,28.0,1.0765301,1.0763866,0.0165787,35.241489,31.526239499999964,13.341838333333241
cell_0,29.0,1.0764797,1.076308,0.016594874,35.183762,31.47223754365438,13.3414916666666
cell_0,30.0,1.0765879,1.0763638,0.016588323,35.214653,31.50223401731998,13.425248333333487
cell_0,31.0,1.0766202,1.0764072,0.016598366,35.238499,31.52989696794298,13.425430000000052
cell_0,32.0,1.0766256,1.0764409,0.016610153,35.250328,31.50271882777274,13.426281666666425
cell_0,33.0,1.0766001,1.0764945,0.016610581,35.219761,31.475398297535186,13.341931666666643
cell_0,34.0,1.0766319,1.0764641,0.016612098,35.310757,31.54514113550136,13.42565999999982
cell_0,35.0,1.0766066,1.0764092,0.01663268,35.235664,31.571688145756475,13.343013333333268
cell_0,36.0,1.076661,1.0765214,0.016625162,35.260101,31.579712059397032,13.425484999999753
cell_0,37.0,1.0766382,1.0765092,0.016602948,35.136036,31.473368785392182,13.341066666666302
cell_0,38.0,1.0766717,1.0765126,0.016602872,35.393112,31.471091381672586,13.341919999999906
cell_0,39.0,1.0766507,1.0765518,0.016581442,35.26786,31.56527386050719,13.425228333333022
cell_0,40.0,1.0767151,1.0765756,0.016590878,35.238396,31.562168991928306,13.342238333333322
cell_0,41.0,1.0766989,1.076576,0.016559757,35.310982,31.54893319642851,13.340851666666762
cell_0,42.0,1.0766598,1.0764952,0.016573889,35.424267,31.59745720145851,13.341250000000096
cell_0,43.0,1.0766748,1.0764656,0.016602637,35.353485,31.58064426630442,13.425753333333706
cell_0,44.0,1.0768414,1.0720551,0.016602065,35.307877,31.572610601429815,13.407648333333297
cell_0,45.0,1.0766555,1.0754313,0.016606055,35.441296,31.59582621453912,13.357603333333099
cell_0,46.0,1.0766659,1.0765792,0.016631251,35.351688,31.633069884341587,13.425145000000096
cell_0,47.0,1.0766661,1.0759525,0.016629409,35.455856,31.6730774777475,13.427131666666536
cell_0,48.0,1.0743055,1.075521,0.016618473,35.439571,31.670769690812737,13.44453166666693
cell_0,49.0,1.0768253,1.076604,0.016619267,35.43576,31.64981431960607,13.341086666666767
cell_0,50.0,1.0767562,1.0766364,0.016621681,35.352997,31.62065363546356,13.341835000000234
cell_0,51.0,1.0767081,1.0765935,0.016628899,35.267384,31.6274709963866,13.42596500000024
cell_0,52.0,1.076677,1.0765553,0.016593309,35.174698,31.582648144534723,13.426603333333333
cell_0,53.0,1.0767009,1.0765204,0.016593125,35.118328,31.471261711293284,13.426193333333746
cell_0,54.0,1.076785,1.0765289,0.016602203,35.140877,31.475482243243224,13.425655000000067
cell_0,55.0,1.076645,1.0765325,0.016603146,35.191639,31.499562125673112,13.425960000000002
cell_0,56.0,1.0766542,1.0764958,0.016607363,35.200359,31.483203643688448,13.341023333333336
cell_0,57.0,1.0753976,1.0764444,0.016602928,35.338074,31.49624710578661,13.341156666666697
cell_0,58.0,1.0765858,1.0764468,0.016609881,35.403072,31.52172061353517,13.344211666666281
cell_0,59.0,1.0752628,1.0763268,0.01662297,35.317291,31.481119538188267,13.427295000000353
cell_0,60.0,1.0767044,1.0765423,0.016619831,35.573944,31.731754057971127,13.430048333333495
cell_0,61.0,1.0769024,1.0767449,0.016538627,35.861553,32.09696574529143,13.344998333333448
cell_0,62.0,1.0770562,1.0768999,0.01647264,35.994705,32.28574128255086,13.341025000000082
cell_0,63.0,1.0770824,1.0758786,0.016443744,35.950111,32.266433526362,13.358034999999896
cell_0,64.0,1.0769807,1.0768579,0.01644614,35.511589,32.05738645685734,13.341183333333174
cell_0,65.0,1.0765196,1.0758302,0.016629677,35.368713,31.577626202678612,13.426228333332983
cell_0,66.0,1.0765632,1.0758365,0.016646057,35.361839,31.56093403683731,13.424510000000009
cell_0,67.0,1.0766724,1.0758048,0.0166522,35.214684,31.526209980197994,13.340823333333537
cell_0,68.0,1.0765343,1.0764037,0.016614987,35.239826,31.589307872972924,13.341328333333271
cell_0,69.0,1.0766476,1.0764031,0.016603788,35.256172,31.56742495212282,13.425778333333437
cell_0,70.0,1.0766002,1.0763655,0.016613714,35.303307,31.577021679279277,13.341714999999386
cell_0,71.0,1.0753345,1.0763476,0.016591648,35.368244,31.557009883152237,13.427033333332899
cell_0,72.0,1.0763972,1.0762949,0.016613971,35.447559,31.601973795148247,13.341746666666586
cell_0,73.0,1.07514,1.0762441,0.016596962,35.428234,31.630672206648743,13.427223333334162
cell_0,74.0,1.0763736,1.0751741,0.016614793,35.456741,31.62339724430828,13.358849999999316
cell_0,75.0,1.0762513,1.0761602,0.016633034,35.43121,31.58299365267853,13.34010333333281
cell_0,76.0,1.0763264,1.0761617,0.016644798,35.595509,31.616040595575207,13.341821666666268
cell_0,77.0,1.0762902,1.0760859,0.016658476,35.477268,31.577171317604368,13.345241666666698
cell_0,78.0,1.0763192,1.0758249,0.016679611,35.389824,31.55356431694472,13.426500000000427
cell_0,79.0,1.0762045,1.0760643,0.016667157,35.402496,31.56954634999997,13.42509166666617
cell_0,80.0,1.0762365,1.0761299,0.016683301,35.370975,31.53051338571417,13.426871666666313
cell_0,81.0,1.0762444,1.076085,0.016681612,35.33733,31.518574817029013,13.426986666666926
cell_0,82.0,1.0761995,1.0761567,0.016671911,35.307102,31.52693188117955,13.425126666666863
cell_0,83.0,1.0761882,1.0760849,0.016673397,35.204979,31.479588027728106,13.34269333333359
cell_0,84.0,1.0762265,1.0750401,0.016668409,35.233223,31.49053318749999,13.357466666667218
cell_0,85.0,1.0763329,1.0747057,0.016641073,35.271553,31.476273357267985,13.442350000000442
cell_0,86.0,1.0760512,1.0761027,0.016650965,35.333958,31.52863617132549,13.341596666666252
cell_0,87.0,1.0762264,1.0760133,0.016624492,35.274235,31.510697337899575,13.425973333333967
cell_0,88.0,1.076053,1.0760144,0.016655143,35.305992,31.461302417194517,13.424228333332575
cell_0,89.0,1.0749464,1.0759495,0.016640818,35.349518,31.526110412655907,13.340766666666605
cell_0,90.0,1.0761249,1.0759265,0.016659595,35.454964,31.53868829528985,13.341036666666817
cell_0,91.0,1.0760405,1.075608,0.016659312,35.466129,31.554677546762584,13.341866666666466
cell_0,92.0,1.0748079,1.0758345,0.016658721,35.478794,31.563948965485885,13.427616666666776
cell_0,93.0,1.0759902,1.0758312,0.016683126,35.363525,31.54121852650182,13.425455000000268
cell_0,94.0,1.0758985,1.0758066,0.016674941,35.452133,31.574045457777743,13.34087666666698
cell_0,95.0,1.0758245,1.0757412,0.016697964,35.386295,31.566971697416967,13.425788333332942
cell_0,96.0,1.0758753,1.0756656,0.0166901,35.358341,31.51917026210042,13.425608333333123
cell_0,97.0,1.0758419,1.0756727,0.016677959,35.35358,31.528216985650218,13.341813333332539
cell_0,98.0,1.0759112,1.075615,0.016689988,35.342964,31.499989871908138,13.341104999999516
cell_0,99.0,1.0758784,1.0756218,0.016680306,35.381123,31.5382938929219,13.341771666666803
cell_0,100.0,1.0759126,1.075726,0.016667154,35.424797,31.58271535545448,13.340761666667337
cell_0,101.0,1.0758415,1.0753505,0.016649913,35.36285,31.559121760425878,13.342673333333611
cell_0,102.0,1.0757886,1.0749074,0.016635951,35.540737,31.60683999078344,13.34219166666735
cell_0,103.0,1.0758218,1.0755031,0.016665185,35.500954,31.604615734119836,13.341169999999693
cell_0,104.0,1.0757833,1.0755662,0.016676938,35.543179,31.600723983899826,13.425434999999318
cell_0,105.0,1.0758278,1.0723299,0.016684875,35.455833,31.53834319999996,13.391468333332645
cell_0,106.0,1.0758644,1.0745033,0.016692117,35.55703,31.591416704873584,13.357718333333226
cell_0,107.0,1.0756383,1.0755292,0.016698901,35.417278,31.533000112499952,13.340049999999852
cell_0,108.0,1.0757459,1.0755377,0.016711168,35.407883,31.558687182805382,13.342545000000003
cell_0,109.0,1.0757282,1.0754865,0.016710438,35.411259,31.545772507569094,13.342545000000003
cell_0,110.0,1.0756657,1.0755172,0.016707964,35.364845,31.524094401969535,13.427188333333334
cell_0,111.0,1.0756232,1.0754832,0.016704768,35.413849,31.531901671748898,13.341828333333327
cell_0,112.0,1.0756211,1.0754611,0.016708335,35.404949,31.488184477517965,13.426580000000012
cell_0,113.0,1.0756699,1.0754857,0.016698426,35.475403,31.55943732709443,13.425344999999986
cell_0,114.0,1.0755961,1.0754497,0.016710207,35.46357,31.634989300270522,13.343665000000025
cell_0,115.0,1.0741987,1.075233,0.016706221,35.423832,31.51704521383645,13.425728333333366
cell_0,116.0,1.0756382,1.068802,0.016697131,35.464062,31.427050802148628,13.44033166666668
cell_0,117.0,1.0756032,1.0721687,0.016651453,35.380379,31.498589909982176,13.391741666666652
cell_0,118.0,1.0755146,1.0742291,0.016643099,35.355076,31.51936347922197,13.442215000000033
cell_0,119.0,1.0755045,1.0752661,0.016665339,35.389511,31.543925728440342,13.34173833333328
cell_0,120.0,1.0753888,1.0752294,0.016672738,35.498684,31.56520481818176,13.4250933333334
cell_0,121.0,1.0752513,1.0748357,0.016691707,35.56274,31.60590657378555,13.341116666666615
cell_0,122.0,1.075214,1.0750352,0.016706176,35.537201,31.567218993624746,13.427148333333388
cell_0,123.0,1.0752245,1.0750656,0.016706742,35.517334,31.553027858281688,13.425948333333388
cell_0,124.0,1.0751811,1.074984,0.016705314,35.547901,31.524721081996496,13.341861666666592
cell_0,125.0,1.0752125,1.0749904,0.016714437,35.537548,31.536229895870722,13.425150000000091
cell_0,126.0,1.0752281,1.0750037,0.01669752,35.590725,31.583069843033538,13.342126666666688
cell_0,127.0,1.07524,1.0750256,0.016692501,35.619534,31.57977376486245,13.42832166666667
cell_0,128.0,1.0752876,1.0750656,0.01668983,35.575253,31.650463327913265,13.341689999999895
cell_0,129.0,1.0752187,1.0750742,0.016694255,35.552776,31.62926016844924,13.341328333333392
cell_0,130.0,1.075147,1.0749891,0.016695395,35.54414,31.644433071681355,13.341740000000089
cell_0,131.0,1.0751264,1.0749469,0.016718823,35.452667,31.53052584513277,13.340380000000005
cell_0,132.0,1.0737574,1.0743481,0.016711235,35.513676,31.517853376599636,13.425828333333387
cell_0,133.0,1.0747384,1.0745777,0.016729767,35.465786,31.481257102820738,13.425758333333215
cell_0,134.0,1.0744451,1.0738007,0.01672427,35.465542,31.48628388686133,13.4251933333333
cell_0,135.0,1.0728469,1.0747058,0.016716719,35.439861,31.48081783971503,13.340639999999985
cell_0,136.0,1.0728441,1.0734473,0.016700022,35.517666,31.54007950045157,13.441751666666823
cell_0,137.0,1.07452,1.0742463,0.016711231,35.474842,31.53582514246818,13.341196666666656
cell_0,138.0,1.073329,1.0730631,0.016716568,35.433132,31.52885765036233,13.357310000000144
cell_0,139.0,1.0747689,1.0744367,0.01672419,35.438541,31.500959574795942,13.3414916666666
cell_0,140.0,1.0747482,1.0737979,0.016733216,35.502125,31.51329538227393,13.342188333333374
cell_0,141.0,1.0710337,1.0743312,0.01674276,35.494083,31.521700023550718,13.423006666666575
cell_0,142.0,1.0746664,1.0733076,0.016741149,35.43948,31.444934839111113,13.340493333333143
cell_0,143.0,1.0747198,1.0733707,0.01673156,35.372574,31.429818875448067,13.357469999999982
cell_0,144.0,1.0746906,1.0733631,0.016738918,35.464233,31.405488612226208,13.358108333333318
cell_0,145.0,1.0721986,1.073369,0.016727164,35.514103,31.491021824420642,13.358054999999876
cell_0,146.0,1.0733948,1.0732602,0.016724657,35.456879,31.51862606255586,13.441808333333272
cell_0,147.0,1.0745389,1.0739667,0.016718982,35.582253,31.54888291140353,13.34043499999995
cell_0,148.0,1.0743873,1.0737541,0.016738424,35.506378,31.530017511457313,13.34140833333319
cell_0,149.0,1.0740879,1.0737549,0.016757952,35.474022,31.490034345083554,13.426723333333454
cell_0,150.0,1.0744152,1.0740372,0.016753012,35.39584,31.4158140889309,13.426723333333454
cell_0,151.0,1.074378,1.0731764,0.01674024,35.447872,31.421817857894744,13.425454999999783
cell_0,152.0,1.0743593,1.0702136,0.016740628,35.450466,31.39448198585318,13.443241666666776
cell_0,153.0,1.0742767,1.071237,0.016748846,35.410675,31.38326036330938,13.358890000000248
cell_0,154.0,1.0742306,1.070415,0.016747372,35.375988,31.409917090232586,13.461406666666639
cell_0,155.0,1.0739679,1.0736061,0.016751025,35.466473,31.325286911312183,13.425185000000056
cell_0,156.0,1.0732156,1.0741508,0.016734676,35.555653,31.432726470694398,13.342568333333475
cell_0,157.0,1.0736821,1.0741885,0.016726201,35.505966,31.48506421193235,13.342445000000104
cell_0,158.0,1.0737848,1.074113,0.016730631,35.538151,31.52308864973261,13.340438333333198
cell_0,159.0,1.0738961,1.0742009,0.016725052,35.552788,31.5022218629032,13.424934999999824
cell_0,160.0,1.0742747,1.0706693,0.016734798,35.645218,31.587237377122452,13.391196666666655
cell_0,161.0,1.0730073,1.0706372,0.016746862,35.597042,31.574540712737193,13.391806666666525
cell_0,162.0,1.0730597,1.0684314,0.016741382,35.553051,31.542014718246897,13.508351666666567
cell_0,163.0,1.0715735,1.0738164,0.016747773,35.505348,31.49692466696505,13.427051666666618
cell_0,164.0,1.071436,1.0737209,0.016768474,35.508121,31.478508347145404,13.340541666666589
cell_0,165.0,1.0687023,1.0701112,0.0167647,35.537621,31.503456268738578,13.389770000000135
cell_0,166.0,1.0677084,1.0722914,0.016764032,35.61272,31.530218365523506,13.442658333333384
cell_0,167.0,1.0725,1.071817,0.016754109,35.665218,31.596722553636262,13.442238333333323
cell_0,168.0,1.0736258,1.0733327,0.016711727,35.853916,31.758396750905817,13.342443333333359
cell_0,169.0,1.0730176,1.0739535,0.016647922,35.869659,31.839695619135195,13.341409999999936
cell_0,170.0,1.0737669,1.0729719,0.016633736,35.821064,31.939880885171753,13.357395000000057
cell_0,171.0,1.0739388,1.0732769,0.016658876,35.666019,31.75590475403956,13.426108333333104
cell_0,172.0,1.0714852,1.0713981,0.016717143,35.48465,31.545121975892823,13.441624999999961
cell_0,173.0,1.0713842,1.0720751,0.016759157,35.578602,31.520493144784243,13.424481666666786
cell_0,174.0,1.0700154,1.0705087,0.01675274,35.583229,31.4882953545454,13.42563999999984
cell_0,175.0,1.0639316,1.0725451,0.016731106,35.788574,31.664746117021288,13.341128333333472
cell_0,176.0,1.0678089,1.073136,0.016656866,35.915943,31.85674528787876,13.424885000000359
cell_0,177.0,1.0715845,1.0727977,0.016611878,35.999844,31.997926965360058,13.357136666667065
cell_0,178.0,1.0691396,1.0739754,0.016591484,36.030827,32.0448217203238,13.422901666666924
cell_0,179.0,1.07152,1.0737643,0.016588649,36.035019,32.04385341155555,13.340119999999782
cell_0,180.0,1.0702107,1.0729252,0.016605705,35.947884,31.953548717162942,13.425319999999678
cell_0,181.0,1.0714779,1.0711809,0.016623458,35.705002,31.844318040504113,13.37560999999987
cell_0,182.0,1.0737666,1.0735635,0.016670227,35.555653,31.574311358490593,13.425740000000223
cell_0,183.0,1.0734777,1.0732386,0.016746096,35.54538,31.419651937163334,13.34061500000001
cell_0,184.0,1.0734123,1.0711122,0.016736848,35.659203,31.540480136111135,13.374601666666665
cell_0,185.0,1.0733159,1.0728664,0.016737927,35.62376,31.54372588790035,13.427218333332954
cell_0,186.0,1.0732638,1.0684749,0.016736824,35.636375,31.563678734950567,13.390871666666742
cell_0,187.0,1.0731425,1.0712553,0.016757375,35.685463,31.549239633423213,13.425856666667096
cell_0,188.0,1.072943,1.0720451,0.016761232,35.644863,31.49533054379561,13.341423333333417
cell_0,189.0,1.0719339,1.0726497,0.016776931,35.662773,31.51565350184501,13.425616666666368
cell_0,190.0,1.0716102,1.0709891,0.016770208,35.641518,31.533115429475494,13.460416666666667
cell_0,191.0,1.0724705,1.0731412,0.016782723,35.652943,31.505368524193504,13.340864999999758
cell_0,192.0,1.0728638,1.07309,0.016771089,35.605743,31.513312968028416,13.342445000000104
cell_0,193.0,1.0730959,1.0730346,0.016751757,35.761753,31.62494688869096,13.425176666666326
cell_0,194.0,1.0696446,1.0708399,0.01672929,35.85096,31.74891063496372,13.459933333333659
cell_0,195.0,1.0709413,1.0711057,0.016665393,36.043293,31.893599026079087,13.460805000000013
cell_0,196.0,1.0647488,1.0721551,0.016617596,36.025646,32.0085870090253,13.427254999999423
cell_0,197.0,1.067211,1.0717896,0.016626829,35.907764,31.927713282647634,13.425606666666377
cell_0,198.0,1.0692852,1.071728,0.016684754,35.675274,31.783367571428666,13.341804999999779
cell_0,199.0,1.0644047,1.071677,0.016735243,35.631119,31.548535039568392,13.356443333333784
cell_0,200.0,1.0692478,1.0725487,0.016747557,35.719292,31.52278174080715,13.343818333333669
cell_0,201.0,1.0729612,1.0706168,0.016754447,35.844749,31.664457175044838,13.37484833333389
cell_0,202.0,1.0719513,1.0724723,0.016640272,36.11166,31.962246965517256,13.342800000000473
cell_0,203.0,1.0734826,1.0721835,0.016567718,36.211895,32.20117367924523,13.441943333332892
cell_0,204.0,1.0711106,1.0733262,0.016528886,36.381996,32.40796231935763,13.341116666666737
cell_0,205.0,1.0728359,1.0730956,0.016507635,36.369205,32.43614315462967,13.425536666666934
cell_0,206.0,1.0686156,1.0726123,0.016502792,36.403122,32.45479002999997,13.42535500000037
cell_0,207.0,1.0722553,1.0723368,0.016524885,36.313587,32.33830807911688,13.339625000000039
cell_0,208.0,1.0722088,1.0713302,0.016550153,36.022583,32.1437314646374,13.423928333332878
cell_0,209.0,1.0730858,1.0717628,0.016646195,35.664425,31.761429336907938,13.423626666666435
cell_0,210.0,1.0728866,1.0727807,0.016768206,35.524349,31.490014663636313,13.339735000000413
cell_0,211.0,1.0728358,1.0722718,0.016735613,35.557495,31.488633446412774,13.34118666666618
cell_0,212.0,1.0728077,1.0722499,0.016747009,35.606853,31.52370929052259,13.425874999999845
cell_0,213.0,1.07278,1.0723593,0.016755613,35.602715,31.471877587272697,13.428086666666786
cell_0,214.0,1.0726694,1.0721984,0.016757838,35.597111,31.500477572197276,13.426216666666248
cell_0,215.0,1.0725751,1.0723175,0.016769815,35.617973,31.51242957992892,13.42871499999989
cell_0,216.0,1.0714912,1.069206,0.016757606,35.644238,31.51916881127009,13.391568333333513
cell_0,217.0,1.0725292,1.0700992,0.016773481,35.686787,31.499570518942665,13.44440833333356
cell_0,218.0,1.0722562,1.0688763,0.016774355,35.747837,31.542720304347807,13.45877333333289
cell_0,219.0,1.0722263,1.0676124,0.016748931,35.858494,31.66785423805229,13.475231666666028
cell_0,220.0,1.0702997,1.0698501,0.016723558,35.988884,31.801476916818974,13.340916666666939
cell_0,221.0,1.0709004,1.0725639,0.016695153,36.10965,31.96733291396851,13.342061666666025
cell_0,222.0,1.0717547,1.0694323,0.016616879,36.17123,32.07618527576848,13.39022999999967
cell_0,223.0,1.0720819,1.0725305,0.016601132,36.013378,32.071380400179834,13.34138666666598
cell_0,224.0,1.0726638,1.0698831,0.016656835,35.809006,31.776920704301137,13.459751666667096
cell_0,225.0,1.0686629,1.0721313,0.016740052,35.619362,31.555130261775332,13.340786666666585
cell_0,226.0,1.0687469,1.0720383,0.016782315,35.64893,31.50074987941971,13.34100000000035
cell_0,227.0,1.0661069,1.071916,0.01677802,35.76762,31.499947719567167,13.426956666666472
cell_0,228.0,1.0659326,1.0708452,0.016746435,35.816975,31.628723690388224,13.356850000000366
cell_0,229.0,1.0679137,1.0717072,0.016690608,36.001614,31.86863966429209,13.340644999999979
cell_0,230.0,1.0685478,1.0703166,0.016640101,36.138504,31.987170839715056,13.441763333333332
cell_0,231.0,1.0715339,1.0713884,0.016605325,36.180779,32.09936379480281,13.34062333333333
cell_0,232.0,1.0725104,1.0720128,0.016607665,36.159119,32.0767637202859,13.422953333333316
cell_0,233.0,1.0724415,1.0698247,0.016616009,36.11327,32.07035015458516,13.45874833333334
cell_0,234.0,1.0723016,1.070753,0.016637614,35.878998,31.914266757333355,13.358586666666664
cell_0,235.0,1.07228,1.0685449,0.016668925,35.766472,31.684159150858193,13.46041166666667
cell_0,236.0,1.0659735,1.069634,0.016770732,35.660175,31.501364616847866,13.42739500000001
cell_0,237.0,1.0707749,1.0699272,0.016774505,35.750618,31.47382314878265,13.423775000000024
cell_0,238.0,1.0695169,1.0711648,0.016779454,35.748562,31.496787883593004,13.425141666666665
cell_0,239.0,1.0634056,1.0706753,0.016774984,35.842373,31.530654303808713,13.342313333333307
cell_0,240.0,1.0694402,1.0702769,0.016780464,35.686489,31.533524224657466,13.425580000000021
cell_0,241.0,1.0681522,1.0718004,0.016796412,35.74403,31.528403446477633,13.424588333333425
cell_0,242.0,1.0705171,1.0704268,0.016803365,35.673027,31.491428700267626,13.358993333333395
cell_0,243.0,1.0715264,1.0704489,0.016793277,35.652458,31.449190360281147,13.441999999999947
cell_0,244.0,1.0711093,1.0682411,0.016796431,35.732265,31.50313816830797,13.477253333333405
cell_0,245.0,1.0713196,1.0661367,0.016784787,35.80513,31.55895041763137,13.509938333333412
cell_0,246.0,1.0713376,1.0715392,0.016768502,35.90152,31.70871708051229,13.426733333333322
cell_0,247.0,1.0714476,1.0715778,0.016752275,35.972073,31.776309048534788,13.341966666666728
cell_0,248.0,1.0713531,1.0703009,0.016701074,36.07093,31.916018249773014,13.357946666666733
cell_0,249.0,1.0716952,1.0648196,0.016645776,36.072121,31.991055550983816,13.408329999999962
cell_0,250.0,1.071188,1.0691961,0.016659869,35.920967,31.86675156836461,13.356986666666732
cell_0,251.0,1.0692111,1.0685174,0.016721871,35.725296,31.625071614711068,13.357294999999915
cell_0,252.0,1.0694512,1.0702093,0.016792899,35.74332,31.510929019819773,13.357938333333246
cell_0,253.0,1.0713137,1.0690296,0.0167743,35.762974,31.515074795844598,13.375048333333446
cell_0,254.0,1.0665704,1.0701442,0.016772294,35.889324,31.615591624884726,13.442353333333207
cell_0,255.0,1.0716691,1.0671425,0.016718093,36.037556,31.80356475022633,13.492591666666703
cell_0,256.0,1.06809,1.0668716,0.016657885,36.155811,32.01712717460318,13.491983333333337
cell_0,257.0,1.0522044,1.0704683,0.016621841,36.234306,32.121169221127985,13.357358333333346
cell_0,258.0,1.0594097,1.0713661,0.016605418,36.254639,32.17077403926951,13.341023333333336
cell_0,259.0,1.062722,1.0710604,0.01660306,36.275566,32.14334312984665,13.34103499999983
cell_0,260.0,1.065221,1.0678445,0.016619464,36.240387,32.164376110215045,13.391556666666535
cell_0,261.0,1.0675694,1.0709406,0.016628727,35.939533,31.95635320892857,13.424628333333384
cell_0,262.0,1.0713251,1.0700238,0.016714053,35.741558,31.662283019642835,13.358121666666557
cell_0,263.0,1.070654,1.0677588,0.016784256,35.69915,31.52332535394261,13.392561666666733
cell_0,264.0,1.070429,1.0709389,0.016780842,35.778725,31.53213436108591,13.425748333333225
cell_0,265.0,1.0698726,1.0708511,0.016787646,35.777115,31.521172863999965,13.340473333333405
cell_0,266.0,1.0674539,1.0700974,0.016797163,35.814251,31.52587612589927,13.42470000000006
cell_0,267.0,1.067901,1.0686361,0.016792372,35.796692,31.518904649466226,13.426410000000033
cell_0,268.0,1.0710255,1.0671494,0.016798239,35.769722,31.558978278031006,13.34064833333323
cell_0,269.0,1.0709585,1.068815,0.016798295,35.772305,31.50930572937005,13.424129999999908
cell_0,270.0,1.0709193,1.0682523,0.016787376,35.790119,31.52097087154324,13.44126666666707
cell_0,271.0,1.0708414,1.0704846,0.016796924,35.738716,31.519272385964946,13.424935000000309
cell_0,272.0,1.0697244,1.0705065,0.016803084,35.834145,31.53560126605504,13.425338333333396
cell_0,273.0,1.0704929,1.0693113,0.016794637,35.87405,31.61460369981758,13.425348333333385
cell_0,274.0,1.0707847,1.0648159,0.016760504,35.965866,31.685460108849547,13.491894999999689
cell_0,275.0,1.070703,1.0671558,0.016716475,36.0256,31.789688619429636,13.39019833333344
cell_0,276.0,1.0706118,1.0707155,0.016713463,35.876225,31.728401795936396,13.340889999999975
cell_0,277.0,1.0700974,1.0705264,0.016763896,35.788448,31.539494880824336,13.425291666666453
cell_0,278.0,1.070269,1.0678362,0.016803937,35.818394,31.55421824712135,13.374483333333531
cell_0,279.0,1.0699091,1.0663917,0.016802212,35.775108,31.505827172321442,13.461759999999776
cell_0,280.0,1.0699389,1.0674241,0.016803265,35.887672,31.585080087511308,13.359623333333001
cell_0,281.0,1.0691898,1.0666872,0.016774422,35.919395,31.676389841823124,13.459773333333336
cell_0,282.0,1.0666218,1.0655606,0.016721666,36.1464,31.85734360746,13.490938333333665
cell_0,283.0,1.0662863,1.069639,0.016670428,36.325634,32.05804877046266,13.425411666666816
cell_0,284.0,1.0651459,1.069023,0.016626338,36.424717,32.211949358114204,13.44387499999963
cell_0,285.0,1.0691012,1.0685889,0.016588233,36.438999,32.30918548278901,13.374293333333238
cell_0,286.0,1.0685273,1.0650423,0.016575594,36.500782,32.337150738898806,13.509328333333057
cell_0,287.0,1.0708722,1.0675244,0.01655934,36.214645,32.33289740590411,13.390863333333497
cell_0,288.0,1.0689743,1.0699645,0.016586831,36.084473,32.05238656607147,13.425403333333088
cell_0,289.0,1.0695846,1.0688024,0.016693041,35.761234,31.65867635390196,13.442433333333367
cell_0,290.0,1.0698013,1.070035,0.016778078,35.920624,31.510976665158275,13.34069499999993
cell_0,291.0,1.0701363,1.0689226,0.016772928,35.866653,31.576121386654457,13.357798333333145
